Topic,comp_role,Year,weight,word_category
1,STRUCTURED ASSET+issuer,2002,0.558,1
1,STRUCTURED ASSET+issuer,2003,0.5639,1
1,STRUCTURED ASSET+issuer,2004,0.5679,1
1,STRUCTURED ASSET+issuer,2005,0.5994,1
1,STRUCTURED ASSET+issuer,2006,0.5841,1
1,STRUCTURED ASSET+issuer,2007,0.5927,1
1,STRUCTURED ASSET+issuer,2008,0.5996,1
2,THORNBURG MORTGAGE HOME LOAN+issuer,2002,0.1431,1
2,THORNBURG MORTGAGE HOME LOAN+issuer,2003,0.1361,1
2,THORNBURG MORTGAGE HOME LOAN+issuer,2004,0.1219,1
2,THORNBURG MORTGAGE HOME LOAN+issuer,2005,0.1083,1
2,SUNTRUST+originator,2006,0.1074,1
2,SUNTRUST+originator,2007,0.1183,1
2,SUNTRUST+originator,2008,0.1234,1
3,NATIONAL CITY+originator,2002,0.388,1
3,NATIONAL CITY+originator,2003,0.3755,1
3,NATIONAL CITY+originator,2004,0.3615,1
3,NATIONAL CITY+originator,2005,0.3536,1
3,NATIONAL CITY+originator,2006,0.3661,1
3,NATIONAL CITY+originator,2007,0.3722,1
3,NATIONAL CITY+originator,2008,0.3745,1
4,COUNTRYWIDE HOME LOANS+originator,2002,0.2715,1
4,COUNTRYWIDE HOME LOANS+originator,2003,0.2713,1
4,COUNTRYWIDE HOME LOANS+originator,2004,0.27,1
4,COUNTRYWIDE HOME LOANS+originator,2005,0.2669,1
4,COUNTRYWIDE HOME LOANS+originator,2006,0.2637,1
4,COUNTRYWIDE HOME LOANS+originator,2007,0.2616,1
4,COUNTRYWIDE HOME LOANS+originator,2008,0.2609,1
5,US TRUST+issuer,2002,0.2089,1
5,US TRUST+issuer,2003,0.2195,1
5,US TRUST+issuer,2004,0.2404,1
5,US TRUST+issuer,2005,0.2654,1
5,US TRUST+issuer,2006,0.2881,1
5,US TRUST+issuer,2007,0.3045,1
5,US TRUST+issuer,2008,0.3146,1
6,AMERIQUEST MORTGAGE CO.+originator,2002,0.1699,1
6,AMERIQUEST MORTGAGE CO.+originator,2003,0.1715,1
6,AMERIQUEST MORTGAGE CO.+originator,2004,0.1765,1
6,AMERIQUEST MORTGAGE CO.+originator,2005,0.1912,1
6,AMERIQUEST MORTGAGE CO.+originator,2006,0.2075,1
6,AMERIQUEST MORTGAGE CO.+originator,2007,0.2174,1
6,AMERIQUEST MORTGAGE CO.+originator,2008,0.2232,1
7,WELLS FARGO+issuer,2002,0.5853,1
7,WELLS FARGO+issuer,2003,0.5922,1
7,WELLS FARGO+issuer,2004,0.5867,1
7,WELLS FARGO+issuer,2005,0.5694,1
7,WELLS FARGO+issuer,2006,0.5331,1
7,WELLS FARGO+issuer,2007,0.5042,1
7,WELLS FARGO+issuer,2008,0.495,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2002,0.2025,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2003,0.2258,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2004,0.2773,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2005,0.2981,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2006,0.3066,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2007,0.2905,1
8,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+issuer,2008,0.2851,1
9,BANC OF AMERICA SECURITIES LLC+issuer,2002,0.2809,1
9,BANC OF AMERICA SECURITIES LLC+issuer,2003,0.2862,1
9,BANC OF AMERICA SECURITIES LLC+issuer,2004,0.2698,1
9,BANC OF AMERICA SECURITIES LLC+issuer,2005,0.2521,1
9,BANC OF AMERICA SECURITIES LLC+issuer,2006,0.2653,1
9,MAIA MORTGAGE FINANCE STATUTORY TRUST+issuer,2007,0.2528,1
9,MAIA MORTGAGE FINANCE STATUTORY TRUST+issuer,2008,0.2596,1
10,BEAR STEARNS & CO. INC.+issuer,2002,0.3663,1
10,BEAR STEARNS & CO. INC.+issuer,2003,0.3572,1
10,BEAR STEARNS & CO. INC.+issuer,2004,0.34,1
10,BEAR STEARNS & CO. INC.+issuer,2005,0.3185,1
10,BEAR STEARNS & CO. INC.+issuer,2006,0.3011,1
10,BEAR STEARNS & CO. INC.+issuer,2007,0.2868,1
10,BEAR STEARNS & CO. INC.+issuer,2008,0.2791,1
11,FREMONT FINANCIAL CORPORATION+originator,2002,0.2328,1
11,FREMONT FINANCIAL CORPORATION+originator,2003,0.2327,1
11,FREMONT FINANCIAL CORPORATION+originator,2004,0.2481,1
11,FREMONT FINANCIAL CORPORATION+originator,2005,0.2444,1
11,HOME LOAN SERVICES INC.+issuer,2006,0.2122,1
11,HOME LOAN SERVICES INC.+issuer,2007,0.2413,1
11,HOME LOAN SERVICES INC.+issuer,2008,0.2428,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2002,0.331,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2003,0.313,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2004,0.2861,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2005,0.2605,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2006,0.2373,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2007,0.2281,1
12,FIRST FRANKLIN FINANCIAL CORP.+originator,2008,0.2243,1
13,NEW CENTURY+originator,2002,0.4651,1
13,NEW CENTURY+originator,2003,0.4378,1
13,NEW CENTURY+originator,2004,0.3867,1
13,NEW CENTURY+originator,2005,0.3219,1
13,NEW CENTURY+originator,2006,0.259,1
13,NEW CENTURY+originator,2007,0.2213,1
13,NEW CENTURY+originator,2008,0.2047,1
14,WELLS FARGO+originator,2002,0.3957,1
14,WELLS FARGO+originator,2003,0.4016,1
14,WELLS FARGO+originator,2004,0.4118,1
14,WELLS FARGO+originator,2005,0.4228,1
14,WELLS FARGO+originator,2006,0.4303,1
14,WELLS FARGO+originator,2007,0.4358,1
14,WELLS FARGO+originator,2008,0.4396,1
15,AMERICAN HOME MORTGAGE+originator,2002,0.157,1
15,AMERICAN HOME MORTGAGE+originator,2003,0.1603,1
15,AMERICAN HOME MORTGAGE+originator,2004,0.1687,1
15,AMERICAN HOME MORTGAGE+originator,2005,0.1835,1
15,AMERICAN HOME MORTGAGE+originator,2006,0.2106,1
15,AMERICAN HOME MORTGAGE+originator,2007,0.2308,1
15,AMERICAN HOME MORTGAGE+originator,2008,0.2398,1
16,COUNTRYWIDE HOME LOANS+issuer,2002,0.409,1
16,COUNTRYWIDE HOME LOANS+issuer,2003,0.4156,1
16,COUNTRYWIDE HOME LOANS+issuer,2004,0.4286,1
16,COUNTRYWIDE HOME LOANS+issuer,2005,0.444,1
16,COUNTRYWIDE HOME LOANS+issuer,2006,0.4599,1
16,COUNTRYWIDE HOME LOANS+issuer,2007,0.4705,1
16,COUNTRYWIDE HOME LOANS+issuer,2008,0.4759,1
17,WELLS FARGO+servicer,2002,0.1663,1
17,ACE SECURITIES+issuer,2003,0.1691,1
17,ACE SECURITIES+issuer,2004,0.1807,1
17,ACE SECURITIES+issuer,2005,0.1971,1
17,ACE SECURITIES+issuer,2006,0.2142,1
17,ACE SECURITIES+issuer,2007,0.2222,1
17,ACE SECURITIES+issuer,2008,0.2265,1
18,GMAC RFC+issuer,2002,0.3655,1
18,GMAC RFC+issuer,2003,0.3318,1
18,GMAC RFC+issuer,2004,0.262,1
18,SECURITIZED ASSET BACKED RECEIVABLES LLC+issuer,2005,0.2243,1
18,SECURITIZED ASSET BACKED RECEIVABLES LLC+issuer,2006,0.2639,1
18,SECURITIZED ASSET BACKED RECEIVABLES LLC+issuer,2007,0.2885,1
18,SECURITIZED ASSET BACKED RECEIVABLES LLC+issuer,2008,0.3007,1
19,AURORA LOAN SERVICES LLC+servicer,2002,0.2351,1
19,AURORA LOAN SERVICES LLC+servicer,2003,0.2333,1
19,AURORA LOAN SERVICES LLC+servicer,2004,0.2211,1
19,AURORA LOAN SERVICES LLC+servicer,2005,0.1954,1
19,AURORA LOAN SERVICES LLC+servicer,2006,0.1571,1
19,LEHMAN BROTHERS+issuer,2007,0.1657,1
19,LEHMAN BROTHERS+issuer,2008,0.1856,1
20,GREENPOINT+originator,2002,0.2972,1
20,GREENPOINT+originator,2003,0.2954,1
20,GREENPOINT+originator,2004,0.2894,1
20,GREENPOINT+originator,2005,0.2783,1
20,GREENPOINT+originator,2006,0.2692,1
20,GREENPOINT+originator,2007,0.2837,1
20,GREENPOINT+originator,2008,0.293,1
21,WILMINGTON TRUST+issuer,2002,0.48,1
21,WILMINGTON TRUST+issuer,2003,0.4857,1
21,WILMINGTON TRUST+issuer,2004,0.4922,1
21,WILMINGTON TRUST+issuer,2005,0.4998,1
21,WILMINGTON TRUST+issuer,2006,0.51,1
21,WILMINGTON TRUST+issuer,2007,0.5162,1
21,WILMINGTON TRUST+issuer,2008,0.5183,1
22,WMC MORTGAGE CORP.+originator,2002,0.1648,1
22,WMC MORTGAGE CORP.+originator,2003,0.1677,1
22,WMC MORTGAGE CORP.+originator,2004,0.1731,1
22,WMC MORTGAGE CORP.+originator,2005,0.1792,1
22,WMC MORTGAGE CORP.+originator,2006,0.1846,1
22,WMC MORTGAGE CORP.+originator,2007,0.189,1
22,WMC MORTGAGE CORP.+originator,2008,0.1922,1
23,MORGAN STANLEY+issuer,2002,0.3396,1
23,MORGAN STANLEY+issuer,2003,0.3441,1
23,MORGAN STANLEY+issuer,2004,0.3529,1
23,MORGAN STANLEY+issuer,2005,0.3675,1
23,MORGAN STANLEY+issuer,2006,0.3814,1
23,MORGAN STANLEY+issuer,2007,0.3906,1
23,MORGAN STANLEY+issuer,2008,0.3959,1
24,INDYMAC+issuer,2002,0.1822,1
24,INDYMAC+issuer,2003,0.1977,1
24,INDYMAC+issuer,2004,0.2278,1
24,INDYMAC+issuer,2005,0.2676,1
24,INDYMAC+issuer,2006,0.3098,1
24,INDYMAC+issuer,2007,0.3421,1
24,INDYMAC+issuer,2008,0.3582,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2002,0.2374,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2003,0.2444,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2004,0.2558,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2005,0.2706,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2006,0.285,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2007,0.2935,1
25,MORTGAGE LENDERS NETWORK USA  INC.+originator,2008,0.297,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2002,0.5019,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2003,0.4804,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2004,0.4401,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2005,0.3872,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2006,0.3335,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2007,0.2931,1
26,COUNTRYWIDE SECURITIES CORPORATION+issuer,2008,0.2739,1
27,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+originator,2002,0.0841,1
27,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+originator,2003,0.0846,1
27,PRINCIPAL RESIDENTIAL MORTGAGE  INC.+originator,2004,0.0832,1
27,AEGIS+originator,2005,0.0829,1
27,AEGIS+originator,2006,0.0854,1
27,AEGIS+originator,2007,0.0869,1
27,AEGIS+originator,2008,0.0881,1
28,QUICKEN LOANS+issuer,2002,0.3532,1
28,QUICKEN LOANS+issuer,2003,0.3521,1
28,QUICKEN LOANS+issuer,2004,0.3356,1
28,QUICKEN LOANS+issuer,2005,0.3195,1
28,QUICKEN LOANS+issuer,2006,0.3199,1
28,QUICKEN LOANS+issuer,2007,0.3489,1
28,QUICKEN LOANS+issuer,2008,0.3279,1
29,OPTION ONE+originator,2002,0.3548,1
29,OPTION ONE+originator,2003,0.3353,1
29,OPTION ONE+originator,2004,0.2977,1
29,OPTION ONE+originator,2005,0.2501,1
29,MERRILL LYNCH+issuer,2006,0.2246,1
29,MERRILL LYNCH+issuer,2007,0.2528,1
29,MERRILL LYNCH+issuer,2008,0.2677,1
